Date,next_variance_percent_squared,downside_5d_forecast,monte_carlo_se,historical_downside_5d
2025-04-11,10.74087789845081,0.002557420184645678,3.285954800130706e-05,0.0021761976554496337
2025-04-14,9.575063535602501,0.0022872772373914003,2.7420984484977283e-05,0.0021761976554496337
2025-04-15,8.559864117368743,0.0020681463004404137,2.851790674117333e-05,0.002148953657825084
2025-04-16,8.647646949193764,0.002076801870074595,2.6941805538011554e-05,0.002272475525074542
2025-04-17,7.712048918796333,0.0018398840811591644,2.328085015720787e-05,0.00227038520264923
2025-04-21,8.037802145530222,0.0019157489514665053,2.3960457668988652e-05,0.002412026752899957
2025-04-22,7.169275660254688,0.0017090866889079607,2.0922151329581272e-05,0.002412026752899957
2025-04-23,6.396270876560891,0.0015455783366987357,1.997009729913283e-05,0.002412026752899957
2025-04-24,5.708282190270074,0.001332356419035916,1.57585868159162e-05,0.002376395794783801
2025-04-25,5.095959417566951,0.0012082469744461892,1.623391477880179e-05,0.0023746325615161936
2025-04-28,4.551066277354515,0.0010728501819302601,1.3870456610582872e-05,0.002273244563436624
2025-04-29,4.066015654635499,0.0009642618918787108,1.5398518127330317e-05,0.002273244563436624
2025-04-30,3.6343847073923405,0.0008791879724293759,1.1810768175050652e-05,0.002273244563436624
2025-05-01,3.250151946714256,0.0007617244894926757,9.445550546104543e-06,0.002273244563436624
2025-05-02,2.9081776176737226,0.0006916079805446564,8.87225486292984e-06,0.0016660925228463737
2025-05-05,2.6817066547991,0.0006203247793000325,8.155716064841512e-06,0.0008174944523595686
2025-05-06,2.558166182972077,0.000589131511074256,7.516582142144037e-06,0.0008341662448688597
2025-05-07,2.292297371429977,0.0005436486813389976,7.683861052955413e-06,0.0007728357691449479
2025-05-08,2.0556691664860267,0.0004900146434907099,6.7266969302644615e-06,0.0007728357691449479
2025-05-09,1.851836507061225,0.00042806504678855235,5.477797083770767e-06,0.0002932163418604463
2025-05-12,1.6636507756145775,0.0003737479795638408,4.580360606758715e-06,0.0002932163418604463
2025-05-13,1.4961619619775057,0.00034689194139852147,4.550878223122553e-06,0.0002932163418604463
2025-05-14,1.3470937915168406,0.00031108412653675324,3.958558452042092e-06,0.0002912550719715826
2025-05-15,1.2144203373204259,0.00027792507705281925,3.6583736716082424e-06,0.00016773320472212417
2025-05-16,1.096338486620763,0.0002520186487216039,3.0547789213632328e-06,0.00016773320472212417
2025-05-19,0.9912434353981179,0.00022286656993351128,2.7459778611546323e-06,2.6091654471397342e-05
2025-05-20,0.928130994255548,0.00020973093965032902,2.6842156285716808e-06,2.8917848136918086e-05
2025-05-21,1.4337853221344021,0.00033306792225549196,4.085161417504049e-06,9.99050055819354e-05
2025-05-22,1.2916525219384143,0.0003036113824996508,4.017921867917198e-06,9.99050055819354e-05
2025-05-23,1.2721592624572553,0.0002943331618103155,3.6941748308958916e-06,0.00011155198507201302
2025-05-27,1.147727207739553,0.00026589359411483335,3.704129707757645e-06,0.00011155198507201302
2025-05-28,1.116134499028869,0.00025899262571398154,3.564355176631521e-06,0.00011991984803386203
2025-05-29,1.0088622559510376,0.00022922810679363556,3.6419646617528196e-06,0.00011991984803386203
2025-05-30,0.9190760826705653,0.00021405200243264017,3.151340827366562e-06,0.00012023255331694003
2025-06-02,0.8334765871262484,0.00019138665449230311,2.625041047077815e-06,0.00012023255331694003
2025-06-03,0.7572914383031342,0.0001706012313723762,2.1451259718577084e-06,0.00011201161998056048
2025-06-04,0.690923168407061,0.00016043904811273698,2.065417167449016e-06,9.456469402988025e-05
2025-06-05,0.6876844457652024,0.00015790750455468071,2.1816025032423423e-06,0.00010040357730740926
2025-06-06,0.6275337111552991,0.00014171295357502735,1.725916605531568e-06,0.00010040357730740926
2025-06-09,0.5739984345869622,0.0001296858615025642,1.657613843792951e-06,9.999780685457721e-05
2025-06-10,0.5263510391588695,0.00012075965550277856,1.8506324869299842e-06,9.999780685457721e-05
2025-06-11,0.5070233530871345,0.0001161885678535729,1.4688004686649154e-06,0.00010203153951640569
2025-06-12,0.4667419664761585,0.00010790463924304827,1.431655584516715e-06,0.00010203153951640569
2025-06-13,0.7006352011817726,0.00016043287249989206,2.129068321873608e-06,0.00013327998012310768
2025-06-16,0.6390601252131055,0.0001465449640463714,1.7990770044280628e-06,0.00013327998012310768
2025-06-17,0.746758717359648,0.00016883466466704873,2.040499854142124e-06,0.00015153540746780896
2025-06-18,0.6811813758937856,0.00015833063176458193,2.0437084450194115e-06,0.000148714884609405
2025-06-20,0.6385664047615823,0.00014663893509681464,1.96212771250338e-06,7.91065599938552e-05
2025-06-23,0.5838177378313294,0.0001305519625002788,1.6759117674785502e-06,7.91065599938552e-05
2025-06-24,0.5350904023321501,0.00012108997712493605,1.487861588548316e-06,6.745958050377758e-05
2025-06-25,0.49172397801457823,0.00011171470293832129,1.3880776821206152e-06,6.745958050377758e-05
2025-06-26,0.4531252370855058,0.00010338956251293796,1.3269228356719448e-06,5.909171754192858e-05
2025-06-27,0.418771637179724,9.649684256847817e-05,1.28209951463023e-06,5.909171754192858e-05
2025-06-30,0.3881962920239023,8.769223604765634e-05,1.165583113612351e-06,5.8779012258850565e-05
2025-07-01,0.36261260780039484,8.260360079426825e-05,1.04722796757226e-06,5.8805226137716995e-05
2025-07-02,0.3382137076194094,7.80470043120828e-05,1.1161596518708279e-06,5.8805226137716995e-05
2025-07-03,0.31649823103174274,7.118550438829975e-05,8.9558501397007e-07,5.878720140621148e-05
2025-07-07,0.4231074311437204,9.690958968575367e-05,1.219378977586777e-06,6.683128950677502e-05
2025-07-08,0.3945788695460666,8.783050716240818e-05,1.1670723443337901e-06,6.690626576815848e-05
2025-07-09,0.36666427725100004,8.347707463389302e-05,1.1566768865063926e-06,6.690626576815848e-05
2025-07-10,0.3418197690583651,8.025702276169375e-05,1.1643923812830456e-06,6.690626576815848e-05
2025-07-11,0.3525363942584696,8.214878087794424e-05,1.2332393885050127e-06,6.796223063654552e-05
2025-07-14,0.32924568948584904,7.540267331356009e-05,1.0193245076336562e-06,6.796223063654552e-05
2025-07-15,0.3545797426119388,8.096784578131373e-05,1.103139115675619e-06,4.12790866651333e-05
2025-07-16,0.3310643076613022,7.474271960221463e-05,1.0821647667709752e-06,4.12790866651333e-05
2025-07-17,0.3101351316192892,7.175137859405873e-05,1.2541672824770611e-06,2.302365932043203e-05
2025-07-18,0.294916109749396,6.775587293732855e-05,8.520139164571402e-07,2.3152031028219214e-05
2025-07-21,0.2779625607402918,6.458610550230657e-05,8.242184303135743e-07,2.17731981987517e-05
2025-07-22,0.26326399169679704,6.208512011484896e-05,8.5307466096811e-07,2.17731981987517e-05
2025-07-23,0.24979158485929975,5.866578612656226e-05,8.353209717592168e-07,2.17731981987517e-05
2025-07-24,0.23793237358728084,5.3728458691635453e-05,6.765811091651101e-07,2.17731981987517e-05
2025-07-25,0.22724597190525336,5.2749986249145366e-05,6.849782016058968e-07,2.17731981987517e-05
